osm2xodr conversion report
=========================

Input: build/windows-arm64/Debug/Karlsruhe.osm
Output: build/windows-arm64/Release/karlsruhe_gap.xodr
OSM road ways parsed: 810
OpenDRIVE roads written: 2055 (1388 junction connector roads)
Junctions written: 179
Compound junctions: 92 (merging 338 OSM junction nodes)
Signals/signs written: 676
Projection origin: lat=49.0051 lon=8.43745

Road summary
------------
w837536338_0 source_way=837536338 length=64.42 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4060137_2 source_way=4060137 length=59.53 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w4060143_0 source_way=4060143 length=3.24 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4060143_2 source_way=4060143 length=36.22 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w461110191_0 source_way=461110191 length=34.39 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4246535_0 source_way=4246535 length=38.47 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4246538_0 source_way=4246538 length=106.36 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w4246539_1 source_way=4246539 length=95.35 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w655094212_0 source_way=655094212 length=72.64 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4248188_1 source_way=4248188 length=71.50 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=1
w4248193_0 source_way=4248193 length=28.82 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4248195_1 source_way=4248195 length=45.80 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248195_2 source_way=4248195 length=39.77 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248195_3 source_way=4248195 length=5.12 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=3
w4248196_1 source_way=4248196 length=94.45 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248201_2 source_way=4248201 length=38.78 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248206_0 source_way=4248206 length=117.51 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=2
w4248206_1 source_way=4248206 length=4.95 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4278499_0 source_way=4278499 length=7.29 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=2
w4278499_1 source_way=4278499 length=23.60 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w4278499_3 source_way=4278499 length=33.78 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w1009117037_0 source_way=1009117037 length=145.55 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4293512_0 source_way=4293512 length=42.34 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4293514_0 source_way=4293514 length=31.33 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4485665_0 source_way=4485665 length=149.67 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485674_0 source_way=4485674 length=101.99 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485674_2 source_way=4485674 length=29.45 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485678_0 source_way=4485678 length=79.82 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485679_0 source_way=4485679 length=63.24 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4850190_0 source_way=4850190 length=52.90 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4850191_0 source_way=4850191 length=7.24 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4850191_1 source_way=4850191 length=5.76 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w22924776_0 source_way=22924776 length=81.93 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24156434_0 source_way=24156434 length=53.40 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24186754_0 source_way=24186754 length=25.22 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24186756_0 source_way=24186756 length=43.04 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276704_0 source_way=24276704 length=54.33 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276705_0 source_way=24276705 length=38.41 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w24276706_2 source_way=24276706 length=56.37 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276708_0 source_way=24276708 length=11.24 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24276708_1 source_way=24276708 length=37.55 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w24295468_0 source_way=24295468 length=10.75 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w25403732_0 source_way=25403732 length=72.41 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
