osm2xodr conversion report
=========================

Input: build/windows-arm64/Debug/Karlsruhe.osm
Output: build/windows-arm64/Release/karlsruhe_plain.xodr
OSM road ways parsed: 810
OpenDRIVE roads written: 2966 (1721 junction connector roads)
Junctions written: 424
Signals/signs written: 1096
Projection origin: lat=49.0051 lon=8.43745

Road summary
------------
w3514513_0 source_way=3514513 length=13.01 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4060137_0 source_way=4060137 length=10.20 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w4060137_1 source_way=4060137 length=14.18 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w4060137_2 source_way=4060137 length=57.06 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w4060143_0 source_way=4060143 length=4.42 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4060143_1 source_way=4060143 length=0.93 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4060143_2 source_way=4060143 length=36.22 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4246533_0 source_way=4246533 length=10.53 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4246535_0 source_way=4246535 length=36.99 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4246535_1 source_way=4246535 length=23.82 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4246538_0 source_way=4246538 length=108.60 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w4246539_0 source_way=4246539 length=11.16 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w4246539_1 source_way=4246539 length=97.46 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w4248184_0 source_way=4248184 length=40.85 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4248188_0 source_way=4248188 length=6.86 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=2
w4248188_1 source_way=4248188 length=2.12 forward=1 backward=1 left_lanes=2 right_lanes=1 signals=1
w4248193_0 source_way=4248193 length=28.82 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4248195_0 source_way=4248195 length=18.58 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248195_1 source_way=4248195 length=44.22 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248195_2 source_way=4248195 length=39.77 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248195_3 source_way=4248195 length=0.94 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=2
w4248196_0 source_way=4248196 length=13.70 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248196_1 source_way=4248196 length=92.12 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248201_0 source_way=4248201 length=16.84 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248201_1 source_way=4248201 length=19.41 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248201_2 source_way=4248201 length=41.69 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248201_3 source_way=4248201 length=16.51 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248201_4 source_way=4248201 length=0.37 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248201_5 source_way=4248201 length=4.54 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w4248206_0 source_way=4248206 length=117.91 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=2
w4248206_1 source_way=4248206 length=7.55 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4278499_0 source_way=4278499 length=9.16 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=2
w4278499_1 source_way=4278499 length=23.60 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w4278499_2 source_way=4278499 length=2.68 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w4278499_3 source_way=4278499 length=24.04 forward=1 backward=1 left_lanes=1 right_lanes=2 signals=1
w4293510_0 source_way=4293510 length=139.99 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4293511_0 source_way=4293511 length=9.54 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4293512_0 source_way=4293512 length=48.98 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4293512_1 source_way=4293512 length=5.33 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4293514_0 source_way=4293514 length=31.33 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4485665_0 source_way=4485665 length=152.00 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485674_0 source_way=4485674 length=101.99 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485674_1 source_way=4485674 length=8.88 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485674_2 source_way=4485674 length=7.06 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485677_0 source_way=4485677 length=9.65 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485677_1 source_way=4485677 length=14.51 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485678_0 source_way=4485678 length=80.88 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485678_1 source_way=4485678 length=2.21 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4485679_0 source_way=4485679 length=71.35 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4533687_0 source_way=4533687 length=5.63 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4850190_0 source_way=4850190 length=51.42 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4850191_0 source_way=4850191 length=7.24 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w4850191_1 source_way=4850191 length=5.70 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w4850969_0 source_way=4850969 length=12.06 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
